KDPROV#NM_PROV#Prevalensi_DM
11#Aceh#5047
12#Sumatera Utara#7220
13#Sumatera Barat#4161
14#Riau#2980
15#Jambi#1827
16#Sumatera Selatan#3504
17#Bengkulu#1270
18#Lampung#3167
19#Kepulauan Bangka Belitung#1335
21#Kepulauan Riau#1385
31#DKI Jakarta#9922
32#Jawa Barat#15846
33#Jawa Tengah#20683
34#DI Yogyakarta#3836
35#Jawa Timur#23514
36#Banten#4605
51#Bali#3318
52#Nusa Tenggara Barat#2244
53#Nusa Tenggara Timur#1850
61#Kalimantan Barat#2126
62#Kalimantan Tengah#1638
63#Kalimantan Selatan#2552
64#Kalimantan Timur#2767
65#Kalimantan Utara#671
71#Sulawesi Utara#2457
72#Sulawesi Tengah#1897
73#Sulawesi Selatan#4720
74#Sulawesi Tenggara#1416
75#Gorontalo#951
76#Sulawesi Barat#698
81#Maluku#659
82#Maluku Utara#679
91#Papua Barat#608
