Kode_Provinsi;Nama_Provinsi;Kode_Kabupaten_Kota;Nama_Kabupaten_Kota;Konsumsi_Minuman_Kemasan
11;Aceh;1101;SIMEULUE;201812
11;Aceh;1102;ACEH SINGKIL;149968
11;Aceh;1103;ACEH SELATAN;288756
11;Aceh;1104;ACEH TENGGARA;276796
11;Aceh;1105;ACEH TIMUR;502996
11;Aceh;1106;ACEH TENGAH;236496
11;Aceh;1107;ACEH BARAT;565500
11;Aceh;1108;ACEH BESAR;434096
11;Aceh;1109;PIDIE;467636
11;Aceh;1110;BIREUEN;411164
11;Aceh;1111;ACEH UTARA;456976
11;Aceh;1112;ACEH BARAT DAYA;272688
11;Aceh;1113;GAYO LUES;196196
11;Aceh;1114;ACEH TAMIANG;203216
11;Aceh;1115;NAGAN RAYA;283036
11;Aceh;1116;ACEH JAYA;432744
11;Aceh;1117;BENER MERIAH;309140
11;Aceh;1118;PIDIE JAYA;680160
11;Aceh;1171;KOTA BANDA ACEH;721916
11;Aceh;1172;KOTA SABANG;602940
11;Aceh;1173;KOTA LANGSA;382408
11;Aceh;1174;KOTA LHOKSEUMAWE;416884
11;Aceh;1175;KOTA SUBULUSSALAM;140972
12;Sumatera Utara;1201;NIAS;56368
12;Sumatera Utara;1202;MANDAILING NATAL;237640
12;Sumatera Utara;1203;TAPANULI SELATAN;304200
12;Sumatera Utara;1204;TAPANULI TENGAH;179504
12;Sumatera Utara;1205;TAPANULI UTARA;130052
12;Sumatera Utara;1206;TOBA SAMOSIR;233896
12;Sumatera Utara;1207;LABUHAN BATU;185744
12;Sumatera Utara;1208;ASAHAN;96616
12;Sumatera Utara;1209;SIMALUNGUN;254904
12;Sumatera Utara;1210;DAIRI;181272
12;Sumatera Utara;1211;KARO;799916
12;Sumatera Utara;1212;DELI SERDANG;183040
12;Sumatera Utara;1213;LANGKAT;149136
12;Sumatera Utara;1214;NIAS SELATAN;54808
12;Sumatera Utara;1215;HUMBANG HASUNDUTAN;197496
12;Sumatera Utara;1216;PAKPAK BHARAT;166400
12;Sumatera Utara;1217;SAMOSIR;142844
12;Sumatera Utara;1218;SERDANG BEDAGAI;150540
12;Sumatera Utara;1219;BATU BARA;135512
12;Sumatera Utara;1220;PADANG LAWAS UTARA;352404
12;Sumatera Utara;1221;PADANG LAWAS;320580
12;Sumatera Utara;1222;LABUHAN BATU SELATAN;216684
12;Sumatera Utara;1223;LABUHAN BATU UTARA;167076
12;Sumatera Utara;1224;NIAS UTARA;86788
12;Sumatera Utara;1225;NIAS BARAT;126776
12;Sumatera Utara;1271;KOTA SIBOLGA;291356
12;Sumatera Utara;1272;KOTA TANJUNG BALAI;250536
12;Sumatera Utara;1273;KOTA PEMATANG SIANTAR;272012
12;Sumatera Utara;1274;KOTA TEBING TINGGI;167024
12;Sumatera Utara;1275;KOTA MEDAN;296140
12;Sumatera Utara;1276;KOTA BINJAI;150020
12;Sumatera Utara;1277;KOTA PADANGSIDIMPUAN;405444
12;Sumatera Utara;1278;KOTA GUNUNGSITOLI;133900
13;Sumatera Barat;1301;KEPULAUAN MENTAWAI;210964
13;Sumatera Barat;1302;PESISIR SELATAN;159172
13;Sumatera Barat;1303;SOLOK;133016
13;Sumatera Barat;1304;SIJUNJUNG;155324
13;Sumatera Barat;1305;TANAH DATAR;165776
13;Sumatera Barat;1306;PADANG PARIAMAN;289744
13;Sumatera Barat;1307;AGAM;145028
13;Sumatera Barat;1308;LIMA PULUH KOTA;302380
13;Sumatera Barat;1309;PASAMAN;240032
13;Sumatera Barat;1310;SOLOK SELATAN;138684
13;Sumatera Barat;1311;DHARMASRAYA;150020
13;Sumatera Barat;1312;PASAMAN BARAT;188240
13;Sumatera Barat;1371;KOTA PADANG;298220
13;Sumatera Barat;1372;KOTA SOLOK;169832
13;Sumatera Barat;1373;KOTA SAWAH LUNTO;146016
13;Sumatera Barat;1374;KOTA PADANG PANJANG;213980
13;Sumatera Barat;1375;KOTA BUKITTINGGI;265720
13;Sumatera Barat;1376;KOTA PAYAKUMBUH;296452
13;Sumatera Barat;1377;KOTA PARIAMAN;496080
14;Riau;1401;KUANTAN SINGINGI;175344
