No.Invoice,Tanggal Invoice,No.Urut,Nama Pelanggan,Kode Produk,Quantity, Gross sales , Discount , Net sales ,Jenis Kirim,Ongkir/Unit,Total Sales,ID Salesman
ORD-BS-00140940342-1,1/2/2020,1,Pittsburgh Mountain Machines,BM-CC-057,1," 7,460 ", - ," 7,460 ",1,50," 7,510 ",669618
ORD-BS-00140940342-1,1/2/2020,2,Pittsburgh Mountain Machines,BR-EC-009,1," 2,240 ", - ," 2,240 ",1,50," 2,290 ",669618
ORD-BS-00140940342-1,1/2/2020,3,Pittsburgh Mountain Machines,BM-OC-049,2," 7,680 ", - ," 15,360 ",1,50," 15,410 ",669618
ORD-BS-00141011421-2,1/4/2020,1,Pittsburgh Mountain Machines,BR-TC-040,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",848311
ORD-BS-00141011421-2,1/4/2020,2,Pittsburgh Mountain Machines,BM-CC-059,1," 5,330 ", - ," 5,330 ",1,50," 5,380 ",848311
ORD-BS-00141011421-2,1/4/2020,3,Pittsburgh Mountain Machines,BM-SA-094,1, 705 , - , 705 ,2,30, 765 ,848311
ORD-BS-00141011421-2,1/4/2020,4,Pittsburgh Mountain Machines,BM-CC-060,2," 8,520 ", - ," 17,040 ",1,50," 17,090 ",848311
ORD-BS-00141011421-2,1/4/2020,5,Pittsburgh Mountain Machines,BM-SA-093,1, 815 , - , 815 ,2,30, 875 ,848311
ORD-BS-00141011421-2,1/4/2020,6,Pittsburgh Mountain Machines,BR-EA-012,1," 4,260 ", - ," 4,260 ",1,50," 4,310 ",848311
ORD-BS-00141011421-2,1/4/2020,7,Pittsburgh Mountain Machines,BR-EC-002,1," 10,660 ", - ," 10,660 ",2,30," 10,720 ",848311
ORD-BS-00141011421-2,1/4/2020,8,Pittsburgh Mountain Machines,BR-EC-025,1," 5,330 ", - ," 5,330 ",2,30," 5,390 ",848311
ORD-BS-00141011421-2,1/4/2020,9,Pittsburgh Mountain Machines,BM-CC-062,1," 6,390 ", - ," 6,390 ",2,30," 6,450 ",848311
ORD-BS-00141011421-2,1/4/2020,10,Pittsburgh Mountain Machines,BM-TC-083,1," 5,330 ", - ," 5,330 ",1,50," 5,380 ",848311
ORD-BS-00141011421-2,1/4/2020,11,Pittsburgh Mountain Machines,BM-CC-063,1," 5,330 ", - ," 5,330 ",2,30," 5,390 ",848311
ORD-BS-00141011421-2,1/4/2020,12,Pittsburgh Mountain Machines,BM-OC-054,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",848311
ORD-BS-00141011421-2,1/4/2020,13,Pittsburgh Mountain Machines,BM-OC-048,1," 6,070 ", - ," 6,070 ",2,30," 6,130 ",848311
ORD-BS-00141011421-2,1/4/2020,14,Pittsburgh Mountain Machines,BM-TA-086,1," 2,880 ", - ," 2,880 ",1,50," 2,930 ",848311
ORD-BS-00141011421-2,1/4/2020,15,Pittsburgh Mountain Machines,BM-SA-090,1," 1,350 ", - ," 1,350 ",2,30," 1,410 ",848311
ORD-BS-00141011421-2,1/4/2020,16,Pittsburgh Mountain Machines,BM-CC-055,1," 12,790 ", - ," 12,790 ",1,50," 12,840 ",848311
ORD-BS-00141011421-2,1/4/2020,17,Pittsburgh Mountain Machines,BM-CC-056,1," 9,060 ", - ," 9,060 ",1,50," 9,110 ",848311
ORD-BS-00141011421-2,1/4/2020,18,Pittsburgh Mountain Machines,BR-EC-007,1," 3,200 ", - ," 3,200 ",1,50," 3,250 ",848311
ORD-BS-00141011421-2,1/4/2020,19,Pittsburgh Mountain Machines,BM-TA-079,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",848311
ORD-BS-00141011421-2,1/4/2020,20,Pittsburgh Mountain Machines,BM-TA-077,1," 2,130 ", - ," 2,130 ",1,50," 2,180 ",848311
ORD-BS-00141103525-3,1/6/2020,1,Pittsburgh Mountain Machines,BR-EC-025,1," 5,330 ", 53 ," 5,277 ",2,30," 5,337 ",359608
ORD-BS-00141221629-4,1/7/2020,1,Pittsburgh Mountain Machines,BM-CC-062,2," 12,780 ", - ," 25,560 ",1,50," 25,610 ",458320
ORD-BS-00141221629-4,1/7/2020,2,Pittsburgh Mountain Machines,BM-CC-067,1," 9,060 ", - ," 9,060 ",1,50," 9,110 ",458320
ORD-BS-00240973375-1,1/9/2020,1,Ithaca Mountain Climbers,BM-CA-072,1," 2,060 ", - ," 2,060 ",2,30," 2,120 ",185077
ORD-BS-00240973375-1,1/9/2020,2,Ithaca Mountain Climbers,BR-EC-024,1," 5,860 ", - ," 5,860 ",1,50," 5,910 ",185077
ORD-BS-00240973375-1,1/9/2020,3,Ithaca Mountain Climbers,BR-EC-023,1," 7,460 ", - ," 7,460 ",2,30," 7,520 ",185077
ORD-BS-00240974377-1,1/10/2020,1,Ithaca Mountain Climbers,BR-EC-001,1," 12,790 ", - ," 12,790 ",1,50," 12,840 ",848311
ORD-BS-00240977382-1,1/10/2020,1,Ithaca Mountain Climbers,BM-TA-079,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",458320
ORD-BS-00240977382-1,1/10/2020,2,Ithaca Mountain Climbers,BR-EA-012,1," 4,260 ", - ," 4,260 ",1,50," 4,310 ",458320
ORD-BS-00241012424-2,1/12/2020,1,Ithaca Mountain Climbers,BM-CA-072,1," 2,060 ", - ," 2,060 ",2,30," 2,120 ",956821
ORD-BS-00241012424-2,1/12/2020,2,Ithaca Mountain Climbers,BM-OC-050,1," 3,200 ", - ," 3,200 ",1,50," 3,250 ",956821
ORD-BS-00241012424-2,1/12/2020,3,Ithaca Mountain Climbers,BM-OC-053,1," 3,730 ", - ," 3,730 ",2,30," 3,790 ",956821
ORD-BS-00241012424-2,1/12/2020,4,Ithaca Mountain Climbers,BM-CC-059,1," 5,330 ", - ," 5,330 ",1,50," 5,380 ",956821
ORD-BS-00241012424-2,1/12/2020,5,Ithaca Mountain Climbers,BM-CC-069,1," 4,800 ", - ," 4,800 ",2,30," 4,860 ",956821
ORD-BS-00241012424-2,1/12/2020,6,Ithaca Mountain Climbers,BM-TA-078,1," 1,620 ", - ," 1,620 ",2,30," 1,680 ",956821
ORD-BS-00241012424-2,1/12/2020,7,Ithaca Mountain Climbers,BM-CC-064,1," 4,260 ", - ," 4,260 ",2,30," 4,320 ",956821
ORD-BS-00241012424-2,1/12/2020,8,Ithaca Mountain Climbers,BR-EC-023,1," 7,460 ", - ," 7,460 ",1,50," 7,510 ",956821
ORD-BS-00241012424-2,1/12/2020,9,Ithaca Mountain Climbers,BR-EC-028,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",956821
ORD-BS-00241012424-2,1/12/2020,10,Ithaca Mountain Climbers,BM-CC-057,1," 7,460 ", - ," 7,460 ",2,30," 7,520 ",956821
ORD-BS-00241012424-2,1/12/2020,11,Ithaca Mountain Climbers,BM-TC-083,1," 5,330 ", - ," 5,330 ",2,30," 5,390 ",956821
ORD-BS-00241012424-2,1/12/2020,12,Ithaca Mountain Climbers,BM-TC-081,1," 12,250 ", - ," 12,250 ",2,30," 12,310 ",956821
ORD-BS-00241012424-2,1/12/2020,13,Ithaca Mountain Climbers,BM-CC-066,1," 11,190 ", - ," 11,190 ",2,30," 11,250 ",956821
ORD-BS-00241012424-2,1/12/2020,14,Ithaca Mountain Climbers,BM-OC-051,1," 8,200 ", - ," 8,200 ",1,50," 8,250 ",956821
ORD-BS-00241012424-2,1/12/2020,15,Ithaca Mountain Climbers,BM-CC-058,1," 6,390 ", - ," 6,390 ",2,30," 6,450 ",956821
ORD-BS-00241012424-2,1/12/2020,16,Ithaca Mountain Climbers,BM-OC-047,1," 7,990 ", - ," 7,990 ",2,30," 8,050 ",956821
ORD-BS-00241012424-2,1/12/2020,17,Ithaca Mountain Climbers,BR-EA-018,1," 1,410 ", - ," 1,410 ",2,30," 1,470 ",956821
ORD-BS-00241012424-2,1/12/2020,18,Ithaca Mountain Climbers,BR-EC-007,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",956821
ORD-BS-00241012424-2,1/12/2020,19,Ithaca Mountain Climbers,BM-TA-079,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",956821
ORD-BS-00241012424-2,1/12/2020,20,Ithaca Mountain Climbers,BM-TA-087,3," 7,020 ", - ," 21,060 ",1,50," 21,110 ",956821
ORD-BS-00241012424-2,1/12/2020,21,Ithaca Mountain Climbers,BR-EA-013,3," 9,600 ", - ," 28,800 ",1,50," 28,850 ",956821
ORD-BS-00241012424-2,1/12/2020,22,Ithaca Mountain Climbers,BM-TC-085,1," 3,730 ", - ," 3,730 ",1,50," 3,780 ",956821
ORD-BS-00241012424-2,1/12/2020,23,Ithaca Mountain Climbers,BM-TA-077,3," 6,390 ", - ," 19,170 ",2,30," 19,230 ",956821
ORD-BS-00241023438-2,1/13/2020,1,Ithaca Mountain Climbers,BR-EA-013,1," 3,200 ", - ," 3,200 ",1,50," 3,250 ",205347
ORD-BS-00241023438-2,1/13/2020,2,Ithaca Mountain Climbers,BM-OC-053,1," 3,730 ", - ," 3,730 ",1,50," 3,780 ",205347
ORD-BS-00241023438-2,1/13/2020,3,Ithaca Mountain Climbers,BM-TC-083,1," 5,330 ", - ," 5,330 ",2,30," 5,390 ",205347
ORD-BS-00241023438-2,1/13/2020,4,Ithaca Mountain Climbers,BM-CA-061,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",205347
ORD-BS-00241023438-2,1/13/2020,5,Ithaca Mountain Climbers,BM-CC-070,1," 2,880 ", - ," 2,880 ",2,30," 2,940 ",205347
ORD-BS-00241023438-2,1/13/2020,6,Ithaca Mountain Climbers,BM-CA-065,1," 3,200 ", - ," 3,200 ",1,50," 3,250 ",205347
ORD-BS-00241023438-2,1/13/2020,7,Ithaca Mountain Climbers,BM-SA-094,2," 1,410 ", - ," 2,820 ",2,30," 2,880 ",205347
ORD-BS-00241023438-2,1/13/2020,8,Ithaca Mountain Climbers,BR-CC-043,2," 7,000 ", - ," 14,000 ",2,30," 14,060 ",205347
ORD-BS-00241023438-2,1/13/2020,9,Ithaca Mountain Climbers,BM-CC-055,1," 12,790 ", - ," 12,790 ",1,50," 12,840 ",205347
ORD-BS-00241023438-2,1/13/2020,10,Ithaca Mountain Climbers,BM-CA-072,4," 8,240 ", - ," 32,960 ",2,30," 33,020 ",205347
ORD-BS-00241023438-2,1/13/2020,11,Ithaca Mountain Climbers,BM-TA-087,1," 2,340 ", - ," 2,340 ",1,50," 2,390 ",205347
ORD-BS-00241023438-2,1/13/2020,12,Ithaca Mountain Climbers,BR-EC-024,1," 5,860 ", - ," 5,860 ",2,30," 5,920 ",205347
ORD-BS-00241023438-2,1/13/2020,13,Ithaca Mountain Climbers,BM-SA-092,8," 7,840 ", - ," 62,720 ",2,30," 62,780 ",205347
ORD-BS-00241023438-2,1/13/2020,14,Ithaca Mountain Climbers,BM-SA-091,1," 1,080 ", - ," 1,080 ",1,50," 1,130 ",205347
ORD-BS-00241023438-2,1/13/2020,15,Ithaca Mountain Climbers,BM-CC-069,1," 4,800 ", - ," 4,800 ",1,50," 4,850 ",205347
ORD-BS-00241023438-2,1/13/2020,16,Ithaca Mountain Climbers,BR-EC-022,1," 9,590 ", - ," 9,590 ",1,50," 9,640 ",205347
ORD-BS-00241023438-2,1/13/2020,17,Ithaca Mountain Climbers,BM-TC-081,2," 24,500 ", - ," 49,000 ",2,30," 49,060 ",205347
ORD-BS-00241023438-2,1/13/2020,18,Ithaca Mountain Climbers,BM-CC-062,1," 6,390 ", - ," 6,390 ",2,30," 6,450 ",205347
ORD-BS-00241023438-2,1/13/2020,19,Ithaca Mountain Climbers,BR-EC-005,1," 4,260 ", - ," 4,260 ",2,30," 4,320 ",205347
ORD-BS-00241023438-2,1/13/2020,20,Ithaca Mountain Climbers,BR-EC-002,1," 10,660 ", - ," 10,660 ",2,30," 10,720 ",205347
ORD-BS-00241023438-2,1/13/2020,21,Ithaca Mountain Climbers,BR-EA-012,1," 4,260 ", - ," 4,260 ",2,30," 4,320 ",205347
ORD-BS-00241023438-2,1/13/2020,22,Ithaca Mountain Climbers,BM-OC-054,1," 3,200 ", - ," 3,200 ",2,30," 3,260 ",205347
ORD-BS-00241023438-2,1/13/2020,23,Ithaca Mountain Climbers,BR-EC-007,2," 6,400 ", - ," 12,800 ",2,30," 12,860 ",205347
ORD-BS-00241023438-2,1/13/2020,24,Ithaca Mountain Climbers,BR-TC-039,2," 9,000 ", - ," 18,000 ",1,50," 18,050 ",205347
ORD-BS-00241023438-2,1/13/2020,25,Ithaca Mountain Climbers,BM-CA-071,1," 2,340 ", - ," 2,340 ",1,50," 2,390 ",205347
ORD-BS-00241037460-2,1/14/2020,1,Ithaca Mountain Climbers,BM-CC-055,2," 25,580 ", - ," 51,160 ",2,30," 51,220 ",669618
ORD-BS-00241037460-2,1/14/2020,2,Ithaca Mountain Climbers,BM-OC-052,1," 5,970 ", - ," 5,970 ",1,50," 6,020 ",669618
ORD-BS-00241066479-2,1/16/2020,1,Ithaca Mountain Climbers,BM-CA-072,1," 2,060 ", - ," 2,060 ",2,30," 2,120 ",430843
ORD-BS-00241066479-2,1/16/2020,2,Ithaca Mountain Climbers,BM-CC-069,1," 4,800 ", - ," 4,800 ",1,50," 4,850 ",430843
ORD-BS-00241066479-2,1/16/2020,3,Ithaca Mountain Climbers,BM-CC-058,1," 6,390 ", - ," 6,390 ",1,50," 6,440 ",430843
ORD-BS-00241066479-2,1/16/2020,4,Ithaca Mountain Climbers,BM-CA-071,1," 2,340 ", - ," 2,340 ",2,30," 2,400 ",430843
ORD-BS-00241066479-2,1/16/2020,5,Ithaca Mountain Climbers,BM-OC-052,1," 5,970 ", - ," 5,970 ",2,30," 6,030 ",430843
ORD-BS-00241066479-2,1/16/2020,6,Ithaca Mountain Climbers,BM-CC-060,2," 8,520 ", - ," 17,040 ",1,50," 17,090 ",430843
ORD-BS-00241080501-2,1/17/2020,1,Ithaca Mountain Climbers,BR-EC-023,1," 7,460 ", - ," 7,460 ",1,50," 7,510 ",956821
ORD-BS-00241086507-2,1/19/2020,1,Ithaca Mountain Climbers,BM-SA-093,1, 815 , - , 815 ,2,30, 875 ,956821
ORD-BS-00241086507-2,1/19/2020,2,Ithaca Mountain Climbers,BM-OC-048,1," 6,070 ", - ," 6,070 ",2,30," 6,130 ",956821
ORD-BS-00241086507-2,1/19/2020,3,Ithaca Mountain Climbers,BR-TC-039,1," 4,500 ", - ," 4,500 ",2,30," 4,560 ",956821
ORD-BS-00241086507-2,1/19/2020,4,Ithaca Mountain Climbers,BM-CC-056,1," 9,060 ", - ," 9,060 ",1,50," 9,110 ",956821
ORD-BS-00241086507-2,1/19/2020,5,Ithaca Mountain Climbers,BM-SA-090,1," 1,350 ", - ," 1,350 ",1,50," 1,400 ",956821
ORD-BS-00241086507-2,1/19/2020,6,Ithaca Mountain Climbers,BR-EC-022,1," 9,590 ", - ," 9,590 ",1,50," 9,640 ",956821
ORD-BS-00241086507-2,1/19/2020,7,Ithaca Mountain Climbers,BM-OC-053,1," 3,730 ", - ," 3,730 ",1,50," 3,780 ",956821
ORD-BS-00241086507-2,1/19/2020,8,Ithaca Mountain Climbers,BM-SA-095,1, 585 , - , 585 ,1,50, 635 ,956821
ORD-BS-00241086507-2,1/19/2020,9,Ithaca Mountain Climbers,BM-OC-052,1," 5,970 ", - ," 5,970 ",2,30," 6,030 ",956821
ORD-BS-00241086507-2,1/19/2020,10,Ithaca Mountain Climbers,BM-CC-067,2," 18,120 ", - ," 36,240 ",1,50," 36,290 ",956821
ORD-BS-00241086507-2,1/19/2020,11,Ithaca Mountain Climbers,BM-CA-071,1," 2,340 ", - ," 2,340 ",1,50," 2,390 ",956821
ORD-BS-00241086507-2,1/19/2020,12,Ithaca Mountain Climbers,BM-TA-080,1," 2,660 ", - ," 2,660 ",1,50," 2,710 ",956821
ORD-BS-00241100521-3,1/21/2020,1,Ithaca Mountain Climbers,BR-EC-001,3," 38,370 ", 128 ," 114,982 ",2,30," 115,042 ",848311
