tahun,nama_bumd,nama_akun,nilai,keterangan
2017,PD AM Jaya,Aset,1360142767,
2017,PD AM Jaya,Ekuitas,-509895627,
2017,PD AM Jaya,Pendapatan Usaha,2796561019,
2017,PD AM Jaya,Laba Usaha,122739741,
2017,PD AM Jaya,Laba Bersih,131375112,
2017,PD Dharma Jaya,Aset,-,Data belum tersedia
2017,PD Dharma Jaya,Ekuitas,-,Data belum tersedia
2017,PD Dharma Jaya,Pendapatan Usaha,-,Data belum tersedia
2017,PD Dharma Jaya,Laba Usaha,-,Data belum tersedia
2017,PD Dharma Jaya,Laba Bersih,-,Data belum tersedia
2017,PD Pasar Jaya,Aset,4383249995,
2017,PD Pasar Jaya,Ekuitas,1165209031,
2017,PD Pasar Jaya,Pendapatan Usaha,739793275,
2017,PD Pasar Jaya,Laba Usaha,73290367,
2017,PD Pasar Jaya,Laba Bersih,93518089,
2017,PD Pembangunan Sarana Jaya,Aset,1455160903,
2017,PD Pembangunan Sarana Jaya,Ekuitas,1111628669,
2017,PD Pembangunan Sarana Jaya,Pendapatan Usaha,306044506,
2017,PD Pembangunan Sarana Jaya,Laba Usaha,123217240,
2017,PD Pembangunan Sarana Jaya,Laba Bersih,119436680,
2017,PD PAL Jaya,Aset,716222145,
2017,PD PAL Jaya,Ekuitas,683424757,
2017,PD PAL Jaya,Pendapatan Usaha,81382373,
2017,PD PAL Jaya,Laba Usaha,27002465,
2017,PD PAL Jaya,Laba Bersih,39174547,
2017,PT Food Station Tjipinang Jaya,Aset,561170417,
2017,PT Food Station Tjipinang Jaya,Ekuitas,381017389,
2017,PT Food Station Tjipinang Jaya,Pendapatan Usaha,842134526,
2017,PT Food Station Tjipinang Jaya,Laba Usaha,5745223,
2017,PT Food Station Tjipinang Jaya,Laba Bersih,16238344,
2017,PT Jakarta Propertindo,Aset,16712835675,
2017,PT Jakarta Propertindo,Ekuitas,15590382313,
2017,PT Jakarta Propertindo,Pendapatan Usaha,1573238946,
2017,PT Jakarta Propertindo,Laba Usaha,499961863,
2017,PT Jakarta Propertindo,Laba Bersih,478427550,
2017,PT Bank DKI,Aset,51417045000,
2017,PT Bank DKI,Ekuitas,8203337000,
2017,PT Bank DKI,Pendapatan Usaha,4020877000,
2017,PT Bank DKI,Laba Usaha,925822000,
2017,PT Bank DKI,Laba Bersih,712177000,
2017,PT Jakarta Tourisindo,Aset,518225594,
2017,PT Jakarta Tourisindo,Ekuitas,457289412,
2017,PT Jakarta Tourisindo,Pendapatan Usaha,99740367,
2017,PT Jakarta Tourisindo,Laba Usaha,-19998899,
2017,PT Jakarta Tourisindo,Laba Bersih,-19723289,
2017,PT Mass Rapid Transit (MRT) Jakarta,Aset,9781841615,
2017,PT Mass Rapid Transit (MRT) Jakarta,Ekuitas,8759643566,
2017,PT Mass Rapid Transit (MRT) Jakarta,Pendapatan Usaha,-,
2017,PT Mass Rapid Transit (MRT) Jakarta,Laba Usaha,-136265509,
2017,PT Mass Rapid Transit (MRT) Jakarta,Laba Bersih,-116894593,
2017,PT Transportasi Jakarta,Aset,3429981886,Unaudited 2017
2017,PT Transportasi Jakarta,Ekuitas,2610706215,Unaudited 2017
2017,PT Transportasi Jakarta,Pendapatan Usaha,1703448525,Unaudited 2017
2017,PT Transportasi Jakarta,Laba Usaha,218581868,Unaudited 2017
2017,PT Transportasi Jakarta,Laba Bersih,261897622,Unaudited 2017
2017,PT Jamkrida Jakarta,Aset,436933913,
2017,PT Jamkrida Jakarta,Ekuitas,406512494,
2017,PT Jamkrida Jakarta,Pendapatan Usaha,32412405,
2017,PT Jamkrida Jakarta,Laba Usaha,4218202,
2017,PT Jamkrida Jakarta,Laba Bersih,4262414,
2017,PT Jakarta Industrial Estate Pulogadung (Persero),Aset,528107245,
2017,PT Jakarta Industrial Estate Pulogadung (Persero),Ekuitas,425619648,
2017,PT Jakarta Industrial Estate Pulogadung (Persero),Pendapatan Usaha,209432231,
2017,PT Jakarta Industrial Estate Pulogadung (Persero),Laba Usaha,105432055,
2017,PT Jakarta Industrial Estate Pulogadung (Persero),Laba Bersih,85894997,
2017,PT Pembangunan Jaya,Aset,15840228361,
2017,PT Pembangunan Jaya,Ekuitas,10271320548,
2017,PT Pembangunan Jaya,Pendapatan Usaha,7371749947,
2017,PT Pembangunan Jaya,Laba Usaha,1519637411,
2017,PT Pembangunan Jaya,Laba Bersih,1490103079,
