,nama_bumd,nilai2018
4,PD AM Jaya,199542461.3
9,PD Dharma Jaya,14544013.91
14,PD PAL Jaya,42732999.35
19,Perumda Pasar Jaya,98733280.97
24,Perumda Pembangunan Sarana Jaya,176535288.3
29,PT Asuransi Bangun Askrida,177995794.3
34,PT Bank DKI,800307000.0
39,PT Cemani Toka,4081730.817
44,"PT Delta Djakarta, Tbk",338129985.0
49,PT Food Station Tjipinang Jaya,30235413.31
54,PT Grahasari Suryajaya,
59,PT Jakarta Industrial Estate Pulogadung (Persero),116228240.4
64,PT Jakarta International Expo,
69,PT Jakarta Propertindo (Perseroda),
74,PT Jakarta Tourisindo,-15456504.53
79,PT Jamkrida Jakarta,8730032.892
84,PT Kawasan Berikat Nusantara (Persero),149784444.8
89,PT Mass Rapid Transit (MRT) Jakarta (Perseroda),-138719481.4
94,PT Pakuan,
99,PT Pembangunan Jaya,1507276876.0
104,"PT Pembangunan Jaya Ancol, Tbk",222347065.8
109,PT Ratax Armada,
114,PT Transportasi Jakarta,
