id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29592768,Filomena’s,89351775,Alex,Queens,Ditmars Steinway,40.77362,-73.91947,Entire home/apt,73.0,1,69,2019-06-23,8.35,1,233
18239876,Studio aprtmnt for ONE  located in upper Manhattan,125589679,Shanta,Manhattan,Washington Heights,40.83694,-73.94212,Entire home/apt,100.0,3,71,2019-06-21,2.66,1,363
27225028,NYC Private 1BR Apartment - 116th Street,59591371,Dustin,Manhattan,East Harlem,40.79889,-73.94489,Entire home/apt,89.0,6,48,2019-07-02,4.21,1,15
1403129,Penthouse Designer Loft Brooklyn,7573341,Robert,Brooklyn,Sunset Park,40.63947,-74.01888,Entire home/apt,195.0,2,220,2019-06-27,3.1,2,287
22322524,Alcove Studio in the heart of Williamsburg,103259676,Flávio,Brooklyn,Williamsburg,40.72021,-73.95695,Entire home/apt,150.0,4,14,2019-01-07,0.77,1,0
17263207,Brooklyn home.  Comfort and clean. Liguria room.,2787,John,Brooklyn,Bensonhurst,40.60877,-73.97382,Private room,49.0,1,19,2019-06-08,0.7,6,360
29152037,"Private artist bedroom in Bushwick, Brooklyn",219669515,Sasha,Brooklyn,Bushwick,40.70328,-73.92006,Private room,50.0,2,6,2019-06-19,5.62,1,10
15832098,1.5 BATHRM SUNNY SPACIOUS ROOM BY SUBWAY,4110869,Golden&Mavy,Manhattan,Harlem,40.82284,-73.95546,Private room,50.0,30,4,2019-06-15,0.14,2,365
820710,1 large bedroom w/private bath,4310378,Autumn,Brooklyn,Clinton Hill,40.69413,-73.96389,Private room,89.0,2,89,2019-01-01,1.12,3,318
32222756,Cozy Room in Townhouse Apartment,32625342,Bianca,Bronx,Kingsbridge,40.88316,-73.90586,Private room,30.0,4,8,2019-04-30,1.76,2,0
31204536,Private guest suite on magnificent Brooklyn block,66813379,Reuven,Brooklyn,Crown Heights,40.66644,-73.94665,Entire home/apt,,2,10,2019-06-22,1.95,2,96
20695930,Artistic Historical Harlem! PrivateRm Quiet Haven!,148124467,Lidia,Manhattan,Harlem,40.8098,-73.9441,Private room,89.0,5,34,2019-06-30,1.58,1,86
583337,Lovely Condo Carroll Gardens/Gowanus,2874587,Ibie,Brooklyn,Carroll Gardens,40.67859,-73.99444,Entire home/apt,115.0,4,61,2019-03-09,0.72,1,15
33594788,"Beautiful Private Home in Bushwick, Brooklyn!",63541445,Luis,Brooklyn,Bushwick,40.69477,-73.93011,Entire home/apt,180.0,3,6,2019-06-24,2.86,1,119
16014708,One bedroom escape,104134325,Chuck,Manhattan,Harlem,40.80313,-73.95027,Entire home/apt,135.0,2,113,2019-06-15,3.58,1,86
18430588,A Quiet stay in Harlem,63417081,Devon,Manhattan,Harlem,40.8236,-73.94412,Private room,35.0,30,7,2019-05-12,0.28,8,78
15833574,Delightful studio apartment.,102526590,Edward,Staten Island,Castleton Corners,40.62063,-74.13001,Entire home/apt,65.0,2,52,2019-06-30,1.95,1,40
6334492,Spacious PRIVATE Room on Brighton Beach,27295569,Michael,Brooklyn,Brighton Beach,40.57679,-73.96016,Private room,75.0,1,127,2019-06-30,2.54,2,247
4498927,Manhattan townhouse near subway,23334165,Patricia,Manhattan,Harlem,40.82257,-73.94543,Entire home/apt,300.0,5,91,2019-06-21,1.65,3,288
12400242,Spacious Brownstone with 5 beds on Second floor!,67045498,Jocelyne,Queens,Ridgewood,40.70918,-73.90089,Entire home/apt,215.0,1,38,2019-06-28,1.75,1,77
148825,Best City Area Columbia U Upper West Side C Park,718349,B.,Manhattan,Upper West Side,40.79765,-73.96245,Entire home/apt,165.0,2,191,2019-06-29,2.18,1,236
28385105,30 day min days-entire apt minutes to Manhattan!,49804236,JoAnn,Queens,Sunnyside,40.74707,-73.9235,Entire home/apt,80.0,30,3,2019-06-10,0.44,1,109
9416198,Cute private space in an Awesome Location,48823036,Fred,Manhattan,Midtown,40.75452,-73.96767,Entire home/apt,180.0,1,156,2019-06-27,3.58,1,22
5161173,3BDR architect's garden home,1027417,Julien,Brooklyn,Park Slope,40.67365,-73.9814,Entire home/apt,350.0,3,5,2019-02-19,0.12,1,22
3450210,Spacious Apt in Townhouse near Columbia University,17389236,Emilie,Manhattan,Harlem,40.80493,-73.95677,Entire home/apt,215.0,1,107,2019-06-22,1.8,1,47
32139526,Perfect Little Gem in the East Village,171331943,Marko,Manhattan,East Village,40.72882,-73.98103,Entire home/apt,160.0,3,6,2019-07-02,6.0,1,63
8880999,NicE Room  with Private Bathroom BK:) SUPERHOST :),3441272,Jasmin,Brooklyn,Bushwick,40.69883,-73.93364,Private room,90.0,1,254,2019-06-23,5.59,5,222
19996830,Large sunny room near park & trains,1287787,Crystal,Brooklyn,Prospect-Lefferts Gardens,40.66225,-73.95894,Private room,33.0,10,3,2019-06-11,0.13,2,63
31671043,Spacious Sun-Drenched UWS Apartment,4005376,Adam,Manhattan,Upper West Side,40.78966,-73.9776,Entire home/apt,107.0,25,1,2019-05-06,0.47,1,170
32894721,COZY NYC!!!,206695257,Ronald,Queens,,40.71324,-73.73318,Private room,70.0,1,4,2019-06-23,1.6,1,88
21747137,"Private Room & Bath - Modern Bldg, S. W'Burg, BK",4952512,Betsy And Dan,Brooklyn,Williamsburg,40.70719,-73.95412,Private room,,1,12,2019-05-11,0.85,1,156
29063413,"Large luxury 1 BR with views, greenwich village!",30782359,Tracey,Manhattan,Greenwich Village,40.73069,-73.9932,Entire home/apt,350.0,2,5,2019-05-19,0.59,1,0
19848536,Cozy room with a bathroom,71540842,Willy,Queens,Ridgewood,40.70801,-73.90928,Private room,48.0,3,50,2019-06-23,2.09,2,111
