ID,Sentiment,Date,Retweet_count,Tweet
1.47E+18,positive,Tue Nov 30 00:00:14 +0000 2021,31,RT @HanifahAndini96: Jakarta blm bebas pandemi meski masuk kategori PPKM Level 1. Kondisi Natal n tahun baru 2022 serta penurunan level DKI…
1.47E+18,positive,Tue Nov 30 00:01:39 +0000 2021,0,Status PPKM DKI Jakarta Naik ke Level 2 https://t.co/VHC8wZewEr
1.47E+18,negative,Tue Nov 30 00:01:40 +0000 2021,0,"Org² kaya lu nih yg bikin ppkm suka diperpanjang. Parno kebodohan pala Lo, liat berapa banyak org yg udah meninggal gara² nih virus. Kmrin² bukan perkara sepele njir. Vaksin gak ngejamin lo ga kena, bangga bgt Lo ngomong gini?? https://t.co/3ebS0mDThN https://t.co/YjWYcQhUXY"
1.47E+18,negative,Tue Nov 30 00:01:41 +0000 2021,1549,RT @msaid_didu: Sangat lucu alasan mewajibkan PCR utk hambat mobilisasi. Wajibkan PCR jelas utk : 1) memaksa rakyat membeli produk pengusah…
1.47E+18,positive,Tue Nov 30 00:02:34 +0000 2021,7,"RT @Bisniscom: Kasus Covid-19 Rendah, Ini Alasan Pemerintah Perpanjang PPKM Jawa-Bali sampai 13 Desember https://t.co/8gj27Z9KQe"
1.47E+18,positive,Tue Nov 30 00:03:25 +0000 2021,15,RT @CNNIndonesia: Status PPKM DKI Jakarta Naik ke Level 2 https://t.co/WjEY1pp6rm
1.47E+18,negative,Tue Nov 30 00:04:37 +0000 2021,0,Kita??? Sorry gue mah pake ya. Pake masker udah jadi kebiasaan. Ya pantes aja kalau ppkm di indo ga habis² wong masyarakatnya aja gini. Gamau pake masker tapi gamau ppkm. Puncak komedi https://t.co/vxpdgSoJHb https://t.co/dRAzUNeF9m
1.47E+18,negative,Tue Nov 30 00:05:28 +0000 2021,0,@cintarenjun Aduhh tapi bau bau ppkm
1.47E+18,positive,Tue Nov 30 00:05:35 +0000 2021,18,RT @kalla_jengking: Wagub DKI Jakarta Ahmad Riza Patria meminta PA 212 mempertimbangkan lagi rencana reuni 212 tersebut meski Jakarta sudah…
1.47E+18,positive,Tue Nov 30 00:05:58 +0000 2021,7,"RT @Bisniscom: Kasus Covid-19 Rendah, Ini Alasan Pemerintah Perpanjang PPKM Jawa-Bali sampai 13 Desember https://t.co/8gj27Z9KQe"
1.47E+18,positive,Tue Nov 30 00:07:18 +0000 2021,31,RT @HanifahAndini96: Jakarta blm bebas pandemi meski masuk kategori PPKM Level 1. Kondisi Natal n tahun baru 2022 serta penurunan level DKI…
