tahun,nama_bumd,nama_akun,nilai,keterangan
2018,PD AM Jaya,Aset,1487470010,
2018,PD AM Jaya,Ekuitas,-309961767.7,
2018,PD AM Jaya,Pendapatan Usaha,2902987732,
2018,PD AM Jaya,Laba Usaha,178777520.1,
2018,PD AM Jaya,Laba Bersih,199542461.3,
2018,PD Dharma Jaya,Aset,286163388.2,
2018,PD Dharma Jaya,Ekuitas,229631515.2,
2018,PD Dharma Jaya,Pendapatan Usaha,453570086.1,
2018,PD Dharma Jaya,Laba Usaha,15763097.11,
2018,PD Dharma Jaya,Laba Bersih,14544013.91,
2018,PD PAL Jaya,Aset,956787519.5,
2018,PD PAL Jaya,Ekuitas,935754598,
2018,PD PAL Jaya,Pendapatan Usaha,89860946.87,
2018,PD PAL Jaya,Laba Usaha,29975669.25,
2018,PD PAL Jaya,Laba Bersih,42732999.35,
2018,Perumda Pasar Jaya,Aset,4325589804,
2018,Perumda Pasar Jaya,Ekuitas,1362546256,
2018,Perumda Pasar Jaya,Pendapatan Usaha,960871009.2,
2018,Perumda Pasar Jaya,Laba Usaha,78948021.7,
2018,Perumda Pasar Jaya,Laba Bersih,98733280.97,
2018,Perumda Pembangunan Sarana Jaya,Aset,2413894891,
2018,Perumda Pembangunan Sarana Jaya,Ekuitas,2185820836,
2018,Perumda Pembangunan Sarana Jaya,Pendapatan Usaha,312052592.9,
2018,Perumda Pembangunan Sarana Jaya,Laba Usaha,191076134.2,
2018,Perumda Pembangunan Sarana Jaya,Laba Bersih,176535288.3,
2018,PT Asuransi Bangun Askrida,Aset,2978849704,
2018,PT Asuransi Bangun Askrida,Ekuitas,903187595.4,
2018,PT Asuransi Bangun Askrida,Pendapatan Usaha,3171915802,
2018,PT Asuransi Bangun Askrida,Laba Usaha,226250822.5,
2018,PT Asuransi Bangun Askrida,Laba Bersih,177995794.3,
2018,PT Bank DKI,Aset,53027916110,
2018,PT Bank DKI,Ekuitas,8586432154,
2018,PT Bank DKI,Pendapatan Usaha,4141332000,
2018,PT Bank DKI,Laba Usaha,1027909000,
2018,PT Bank DKI,Laba Bersih,800307000,
2018,PT Cemani Toka,Aset,431654153.8,
2018,PT Cemani Toka,Ekuitas,132022701.6,
2018,PT Cemani Toka,Pendapatan Usaha,535926473.4,
