,nama_bumd,nilai2017
4,PD AM Jaya,131375112
9,PD Dharma Jaya,-
14,PD Pasar Jaya,93518089
19,PD Pembangunan Sarana Jaya,119436680
24,PD PAL Jaya,39174547
29,PT Food Station Tjipinang Jaya,16238344
34,PT Jakarta Propertindo,478427550
39,PT Bank DKI,712177000
44,PT Jakarta Tourisindo,-19723289
49,PT Mass Rapid Transit (MRT) Jakarta,-116894593
54,PT Transportasi Jakarta,261897622
59,PT Jamkrida Jakarta,4262414
64,PT Jakarta Industrial Estate Pulogadung (Persero),85894997
69,PT Pembangunan Jaya,1490103079
74,PT Kawasan Berikat Nusantara (Persero),163088224
79,PT Cemani Toka,23101841
84,PT Asuransi Bangun Askrida,167735091
89,PT Jakarta International Expo,-
94,PT Ratax Armada,-
99,PT Pakuan,-
104,PT Grahasari Suryajaya,-24778141
