"rank","name","usps","pop2022","pop2010","growth","density","aland_sqmi"
"1","New York City","NY","8177025","8190209","-0.0016","27222","300.3810"
"2","Los Angeles","CA","3985516","3795512","0.0501","8499","468.9560"
"3","Chicago","IL","2671635","2697477","-0.0096","11750","227.3690"
"4","Houston","TX","2325353","2100280","0.1072","3632","640.1940"
"5","Phoenix","AZ","1759943","1449038","0.2146","3400","517.6730"
"6","San Antonio","TX","1598964","1332299","0.2002","3296","485.1130"
"7","Philadelphia","PA","1585480","1528283","0.0374","11807","134.2790"
"8","San Diego","CA","1429653","1305906","0.0948","4387","325.8770"
"9","Dallas","TX","1348886","1200350","0.1237","3970","339.7360"
"10","Austin","TX","1028225","806164","0.2755","3214","319.9390"
"11","San Jose","CA","1003120","954940","0.0505","5642","177.8080"
"12","Fort Worth","TX","958692","748441","0.2809","2774","345.5840"
"13","Jacksonville","FL","938717","823114","0.1404","1256","747.4670"
"14","Charlotte","NC","925290","738444","0.2530","3012","307.2380"
"15","Columbus","OH","921605","790943","0.1652","4204","219.1970"
"16","Indianapolis","IN","892656","821579","0.0865","2469","361.5710"
"17","San Francisco","CA","884108","805505","0.0976","18850","46.9030"
"18","Seattle","WA","787995","610630","0.2905","9396","83.8620"
"19","Denver","CO","760049","603359","0.2597","4958","153.2920"
"20","Washington","DC","718355","605226","0.1869","11750","61.1360"
"21","Boston","MA","696959","621048","0.1222","14418","48.3390"
"22","El Paso","TX","687287","650671","0.0563","2670","257.4200"
"23","Nashville","TN","682262","604589","0.1285","1435","475.5430"
"24","Oklahoma City","OK","676492","582516","0.1613","1116","606.4450"
"25","Las Vegas","NV","675592","584576","0.1557","4766","141.7670"
"26","Portland","OR","666453","585429","0.1384","4995","133.4210"
"27","Detroit","MI","661193","711131","-0.0702","4767","138.7150"
"28","Memphis","TN","650980","652326","-0.0021","2051","317.3570"
"29","Louisville","KY","615067","596482","0.0312","2335","263.4340"
"30","Milwaukee","WI","586503","594865","-0.0141","6098","96.1840"
"31","Baltimore","MD","566631","620915","-0.0874","7000","80.9470"
"32","Albuquerque","NM","563165","546755","0.0300","3008","187.2150"
"33","Tucson","AZ","557718","527160","0.0580","2343","238.0140"
"34","Mesa","AZ","548213","440993","0.2431","3970","138.0850"
"35","Fresno","CA","539862","497769","0.0846","4706","114.7250"
"36","Atlanta","GA","532695","429410","0.2405","3924","135.7370"
"37","Sacramento","CA","531285","467286","0.1370","5436","97.7300"
"38","Kansas City","MO","505272","460697","0.0968","1605","314.8860"
"39","Colorado Springs","CO","495183","420685","0.1771","2539","195"
"40","Raleigh","NC","488334","406353","0.2017","3347","145.8860"
"41","Miami","FL","483395","400779","0.2061","13429","35.9960"
"42","Omaha","NE","480871","459659","0.0461","3411","140.9830"
"43","Long Beach","CA","452917","462431","-0.0206","8934","50.6960"
"44","Virginia Beach","VA","450349","438859","0.0262","1840","244.7230"
"45","Oakland","CA","444956","391406","0.1368","7961","55.8930"
"46","Minneapolis","MN","443715","383067","0.1583","8217","54"
"47","Tampa","FL","407104","337053","0.2078","3571","114.0170"
"48","Tulsa","OK","403518","392403","0.0283","2043","197.4780"
"49","Arlington","TX","401047","365892","0.0961","4187","95.7790"
"50","Aurora","CO","393440","326055","0.2067","2550","154.2720"
"51","Wichita","KS","392059","382745","0.0243","2425","161.6620"
"52","Bakersfield","CA","391438","348987","0.1216","2614","149.7580"
"53","New Orleans","LA","387564","347772","0.1144","2287","169.4340"
"54","Cleveland","OH","374394","395926","-0.0544","4819","77.6940"
"55","Henderson","NV","352202","257452","0.3680","3320","106.0820"
"56","Anaheim","CA","349366","336760","0.0374","6943","50.3200"
"57","Honolulu","HI","339421","339121","0.0009","5606","60.5440"
"58","Riverside","CA","336478","305466","0.1015","4141","81.2580"
"59","Santa Ana","CA","333536","325327","0.0252","12190","27.3610"
"60","Corpus Christi","TX","327423","305272","0.0726","2050","159.7030"
"61","Lexington","KY","325330","296848","0.0959","1147","283.6370"
"62","San Juan","PR","323279","381931","-0.1536","8177","39.5330"
"63","Stockton","CA","315904","292888","0.0786","5081","62.1720"
"64","St. Paul","MN","311504","285510","0.0910","5993","51.9780"
"65","Cincinnati","OH","308929","296980","0.0402","3969","77.8360"
"66","Irvine","CA","304408","213450","0.4261","4639","65.6190"
"67","Greensboro","NC","303286","269598","0.1250","2350","129.0680"
"68","Pittsburgh","PA","299434","305283","-0.0192","5407","55.3760"
"69","Lincoln","NE","295618","259455","0.1394","3072","96.2230"
"70","Durham","NC","292301","230727","0.2669","2605","112.2210"
"71","Orlando","FL","292059","239326","0.2203","2642","110.5590"
"72","St. Louis","MO","292047","319336","-0.0855","4730","61.7440"
"73","Chula Vista","CA","285511","244648","0.1670","5752","49.6410"
"74","Plano","TX","284467","261234","0.0889","3968","71.6820"
"75","Newark","NJ","282788","277175","0.0203","11713","24.1440"
